path,label
data/raw/malware/13adb57427f18e97082becf84da880e1.txt,1
data/raw/malware/18e848961b635990bef02053962a169d.txt,1
data/raw/malware/91e4cfc3b17a91d1872908ed2b4b72a8.txt,1
data/raw/malware/3ad5442dacb735836ead7473cdbb7492.txt,1
data/raw/malware/9f20b2fed7734e4e4caf20c570f00aa4.txt,1
data/raw/malware/1824b79702ade0708e32b690bbbe9dc3.txt,1
data/raw/malware/a0612e99886aa4bd9702eec2bd2c70cd.txt,1
data/raw/malware/89fe09c28ba18cdf16444bbe40b5dad9.txt,1
data/raw/malware/b5441ede3fc6c959bfd8805a4a8f16b5.txt,1
data/raw/malware/6cf1b4fa69e5fdbd8124a9825b21cbbd.txt,1
data/raw/malware/5678cdff9eec1685519bfa7f9ad04e22.txt,1
data/raw/malware/540c57712b3aeaae2a488c77f6fbd042.txt,1
data/raw/benign/f70cb4a83f4a77cdf6a6336ccecf4c81.txt,0
data/raw/benign/5f6d4b91b574183f10be77cee2ca0754.txt,0
data/raw/malware/d4780da092050ed3eb10718671e3ffec.txt,1
data/raw/benign/ad7cef34994f1570587889ba7df8241e.txt,0
data/raw/malware/d947ed087ee26debe8f972c84d92031b.txt,1
data/raw/malware/6806cbe90c297d23976a1e3af69931dd.txt,1
data/raw/malware/2fdb99f5fa54fbf9f51e23e3c63428a9.txt,1
data/raw/malware/1bc766f3a6ff5fae0ef5dbcbe8efd8c9.txt,1
data/raw/malware/7aaf6caa0f2ff8115103d108dafc54e4.txt,1
data/raw/malware/b92ce577794b5fdb03a5ce542e2fa5fd.txt,1
data/raw/benign/fbf79d4571d6b4d8f629feedd0c49f78.txt,0
data/raw/malware/dbd27ed77102b35de2b26dd25e6799a2.txt,1
data/raw/malware/532b2726cdeeb18d029a66d1370a46d4.txt,1
data/raw/malware/8acea2074ca942c4c96f95978f8c2c6b.txt,1
data/raw/malware/5297237d22ed774d2e649d20feede57b.txt,1
data/raw/benign/ba4370a39088570fda6203692ff79b93.txt,0
data/raw/benign/6558fff1b514a90c82202fcf34e6b9c2.txt,0
data/raw/malware/9e1365e1962ff6842b9eccf62b9173c3.txt,1
data/raw/malware/c1c0a1027fc1f067db58bfb5b07b385d.txt,1
data/raw/benign/47338638dc7d8d5e52d9b7ab4bfaa75f.txt,0
data/raw/malware/402adb32fc4b87431ced951fd0db56ed.txt,1
data/raw/malware/2a77b46f714868ecd0fd34223811b340.txt,1
data/raw/malware/85bb00ecdec19090b5370065842bcc88.txt,1
data/raw/malware/c47a42e845ccb04a5465206768edf1e0.txt,1
data/raw/malware/0f5276d416de082a41ef3f7ddc1366a3.txt,1
data/raw/malware/00874fbd11bf773d6bf45419741c4593.txt,1
data/raw/malware/4feb05ee0cac45a4a2763172119bb04e.txt,1
data/raw/malware/0c3b515d1ec5c43deac9f91ebce414f3.txt,1
data/raw/malware/2773c38d3f6b18053cf5e56f752a61d9.txt,1
data/raw/malware/14a567033c4131f3e28699f0467b8367.txt,1
data/raw/malware/56458bd9421d6a19319a43c8a771b952.txt,1
data/raw/malware/4538e91803b0ee62a0ae4e176f0e7d97.txt,1
data/raw/benign/428d8a76e31b6bceed0b8ab9ce6b46f7.txt,0
data/raw/malware/c024ed96d834b87937e5357ff9934e2a.txt,1
data/raw/malware/19f30c9e2277d189b4ac413feafd0bdf.txt,1
data/raw/malware/35b9eecc4c61641bbc5e0e50e2577a02.txt,1
data/raw/malware/69d9b5248c4183f44ff91f2aa07ce5f7.txt,1
data/raw/malware/42adb4edef9023034582eb8b709b7522.txt,1
